Image,Latitude,Longitude,Altitude,Degrees_Clockwise_from_North,Timestamp
DJI_0600.JPG,42.4438915,-76.4414876,30.1,-81.0,2024:11:16 10:58:45
DJI_0601.JPG,42.4439072,-76.4415759,30.6,-81.3,2024:11:16 10:58:49
DJI_0602.JPG,42.4439217,-76.4416794,30.5,-81.4,2024:11:16 10:58:54
DJI_0603.JPG,42.4439326,-76.4417813,30.3,-80.8,2024:11:16 10:58:57
DJI_0604.JPG,42.443944,-76.4418835,30.5,-79.9,2024:11:16 10:59:00
DJI_0605.JPG,42.4439331,-76.4419655,30.8,-81.4,2024:11:16 10:59:06
DJI_0606.JPG,42.4439409,-76.442044,30.5,-81.0,2024:11:16 10:59:09
DJI_0607.JPG,42.4439465,-76.4421072,30.5,-81.0,2024:11:16 10:59:13
DJI_0608.JPG,42.4439635,-76.4422462,30.4,-80.6,2024:11:16 10:59:17
DJI_0609.JPG,42.4439757,-76.4423659,30.7,-80.9,2024:11:16 10:59:23
DJI_0610.JPG,42.4438306,-76.4425175,30.1,-171.8,2024:11:16 10:59:30
DJI_0611.JPG,42.4437556,-76.4425211,30.3,-169.0,2024:11:16 10:59:33
DJI_0612.JPG,42.4436699,-76.4425252,30.2,-169.3,2024:11:16 10:59:36
DJI_0613.JPG,42.4435764,-76.4425311,30.3,-169.5,2024:11:16 10:59:40
DJI_0614.JPG,42.4435241,-76.4424486,30.5,143.8,2024:11:16 11:00:04
DJI_0615.JPG,42.4435109,-76.4424223,30.4,111.7,2024:11:16 11:00:10
DJI_0616.JPG,42.4435359,-76.4423072,30.8,61.3,2024:11:16 11:00:17
DJI_0617.JPG,42.4435621,-76.4422378,30.7,61.5,2024:11:16 11:00:20
DJI_0618.JPG,42.443551,-76.4421582,30.6,96.9,2024:11:16 11:00:24
DJI_0619.JPG,42.4435397,-76.4420563,30.6,95.4,2024:11:16 11:00:28
DJI_0620.JPG,42.4435275,-76.4419589,30.6,95.8,2024:11:16 11:00:31
DJI_0621.JPG,42.4435154,-76.4418336,30.7,98.5,2024:11:16 11:00:34
DJI_0622.JPG,42.4435031,-76.4416957,30.5,98.1,2024:11:16 11:00:38
DJI_0623.JPG,42.443494,-76.4415751,30.5,97.6,2024:11:16 11:00:42
DJI_0624.JPG,42.4434836,-76.4414511,30.5,98.7,2024:11:16 11:00:48
DJI_0625.JPG,42.443533,-76.4414314,30.5,22.3,2024:11:16 11:00:51
DJI_0626.JPG,42.4436245,-76.4414318,30.5,-8.3,2024:11:16 11:00:55
DJI_0627.JPG,42.4437183,-76.4414771,30.5,-21.9,2024:11:16 11:01:00
DJI_0628.JPG,42.4437676,-76.4415043,30.1,-21.9,2024:11:16 11:01:03
DJI_0629.JPG,42.4437576,-76.4415637,30.6,-103.5,2024:11:16 11:01:08
DJI_0630.JPG,42.4437635,-76.4418005,30.1,-79.5,2024:11:16 11:02:23
DJI_0631.JPG,42.4437352,-76.4420019,30.4,-89.3,2024:11:16 11:02:32
DJI_0632.JPG,42.4437315,-76.4421164,30.4,-88.2,2024:11:16 11:02:40
DJI_0633.JPG,42.4437486,-76.4422514,30.5,-89.4,2024:11:16 11:02:45
